orias,siren,nom
398677815,398677815,
400152161,400152161,
383815479,383815479,
439300849,439300849,
438069106,438069106,
439535451,439535451,
402636674,402636674,
402995617,402995617,
350903068,350903068,
409801909,409801909,
401181656,401181656,
411456684,411456684,
441457868,441457868,
443486386,443486386,
444396154,444396154,
387505209,387505209,
419247887,419247887,
775168313,775168313,
444542948,444542948,
384507786,384507786,
333444735,333444735,
450986310,450986310,
452701691,452701691,
390647428,390647428,
390435972,390435972,
479452450,479452450,
478464829,478464829,
394431811,394431811,
403919327,403919327,
391442449,391442449,
398252023,398252023,
487715054,487715054,
487712325,487712325,
404233173,404233173,
412922049,412922049,
419224803,419224803,
349771626,349771626,
378810428,378810428,
490365079,490365079,
411954696,411954696,
403596364,403596364,
421635558,421635558,
421739095,421739095,
429222441,429222441,
424715159,424715159,
431799055,431799055,
379494644,379494644,
415071810,415071810,
433600053,433600053,
433835550,433835550,
439018656,439018656,
439137217,439137217,
438716938,438716938,
438627887,438627887,
439088774,439088774,
439551722,439551722,
439796798,439796798,
401284724,401284724,
442357315,442357315,
451124754,451124754,
417749009,417749009,
393978721,393978721,
421480880,421480880,
329281083,329281083,
494540917,494540917,
482184637,482184637,
491682241,491682241,
412738593,412738593,
409056363,409056363,
440423333,440423333,
485036933,485036933,
422640623,422640623,
413572892,413572892,
444870653,444870653,
388333189,388333189,
490288545,490288545,
431476753,431476753,
410642029,410642029,
441749033,441749033,
381239185,381239185,
493318893,493318893,
487858128,487858128,
379241870,379241870,
380666669,380666669,
423371129,423371129,
434524674,434524674,
434524575,434524575,
352167449,352167449,
421521337,421521337,
423692797,423692797,
381282649,381282649,
354031627,354031627,
394781876,394781876,
491633954,491633954,
379346059,379346059,
348241894,348241894,
382932937,382932937,
432437747,432437747,
394297857,394297857,
503125908,503125908,
410384309,410384309,
328753629,328753629,
414976415,414976415,
340754324,340754324,
333207025,333207025,
442613287,442613287,
348636028,348636028,
380199281,380199281,
493380018,493380018,
450688361,450688361,
453530453,453530453,
453210080,453210080,
422109157,422109157,
390163814,390163814,
379620172,379620172,
437800642,437800642,
348471178,348471178,
349228007,349228007,
447575408,447575408,
447575572,447575572,
441076361,441076361,
429247810,429247810,
398048066,398048066,
477737563,477737563,
390469765,390469765,
453910424,453910424,
492179338,492179338,
395107576,395107576,
493711840,493711840,
433501954,433501954,
441326212,441326212,
480985860,480985860,
479596702,479596702,
443113873,443113873,
418332805,418332805,
314007709,314007709,
775718216,775718216,
429017528,429017528,
338138795,338138795,
378409403,378409403,
442306114,442306114,
392382768,392382768,
493024897,493024897,
350751129,350751129,
491995015,491995015,
389368499,389368499,
381976448,381976448,
480127133,480127133,
433869427,433869427,
477868376,477868376,
384760815,384760815,
435128947,435128947,
444953830,444953830,
492000922,492000922,
490051844,490051844,
479571390,479571390,
493996284,493996284,
483413258,483413258,
453090110,453090110,
379675929,379675929,
393738901,393738901,
392456067,392456067,
451032239,451032239,
394322523,394322523,
483914073,483914073,
424371243,424371243,
399339860,399339860,
341101020,341101020,
377994553,377994553,
451010227,451010227,
424900819,424900819,
392369898,392369898,
429978695,429978695,
480199132,480199132,
448284794,448284794,
452946023,452946023,
450532460,450532460,
745520411,745520411,
410479166,410479166,
400581864,400581864,
440676559,440676559,
488194499,488194499,
441612504,441612504,
431324151,431324151,
477488373,477488373,
383354594,383354594,
775675069,775675069,
479567943,479567943,
429191174,429191174,
483108676,483108676,
439462532,439462532,
353029275,353029275,
493129936,493129936,
393894480,393894480,
391355641,391355641,
351073077,351073077,
485323489,485323489,
477514988,477514988,
487735862,487735862,
307548347,307548347,
483232864,483232864,
434304259,434304259,
484293865,484293865,
448872754,448872754,
390227775,390227775,
378424428,378424428,
408301752,408301752,
484642996,484642996,
343995775,343995775,
445174634,445174634,
493063093,493063093,
483877890,483877890,
494623762,494623762,
452767601,452767601,
379348204,379348204,
388228033,388228033,
429835408,429835408,
400544565,400544565,
345243307,345243307,
392821807,392821807,
412529570,412529570,
439118175,439118175,
479786071,479786071,
381244003,381244003,
379988629,379988629,
489563122,489563122,
430473462,430473462,
389765371,389765371,
387846140,387846140,
410009484,410009484,
410132427,410132427,
353903552,353903552,
302039573,302039573,
394409932,394409932,
380829325,380829325,
498211804,498211804,
340004597,340004597,
408483477,408483477,
379702442,379702442,
451755615,451755615,
351045216,351045216,
343007241,343007241,
390652964,390652964,
435351135,435351135,
379453038,379453038,
403745425,403745425,
394437966,394437966,
487619702,487619702,
489255265,489255265,
489707190,489707190,
489908210,489908210,
438432288,438432288,
492228853,492228853,
491426037,491426037,
491407565,491407565,
349869149,349869149,
450038906,450038906,
339993768,339993768,
338215007,338215007,
342734175,342734175,
404869307,404869307,
402117261,402117261,
493554968,493554968,
443768403,443768403,
493443204,493443204,
493393557,493393557,
493475750,493475750,
493623367,493623367,
343282372,343282372,
343510111,343510111,
343770186,343770186,
410651442,410651442,
411137573,411137573,
410460190,410460190,
410710990,410710990,
410452221,410452221,
412530263,412530263,
482967585,482967585,
344184148,344184148,
343991220,343991220,
412161556,412161556,
392989273,392989273,
414191775,414191775,
413906967,413906967,
414593178,414593178,
415003037,415003037,
397850181,397850181,
350221537,350221537,
349310714,349310714,
350691788,350691788,
350767349,350767349,
377502000,377502000,
421823485,421823485,
421653643,421653643,
421455148,421455148,
424390425,424390425,
423623875,423623875,
428684427,428684427,
428799951,428799951,
429406317,429406317,
429524374,429524374,
429579832,429579832,
429603939,429603939,
379295850,379295850,
380123166,380123166,
379151970,379151970,
381169424,381169424,
429157126,429157126,
432687465,432687465,
432219244,432219244,
432358703,432358703,
432613909,432613909,
432438554,432438554,
381377514,381377514,
384710554,384710554,
439814294,439814294,
347563959,347563959,
434040077,434040077,
433968401,433968401,
435218987,435218987,
434198784,434198784,
435246442,435246442,
398925362,398925362,
385105739,385105739,
384336491,384336491,
388841066,388841066,
388551152,388551152,
443444526,443444526,
438073538,438073538,
439088238,439088238,
438425100,438425100,
440446425,440446425,
440450211,440450211,
440319259,440319259,
450733977,450733977,
321582660,321582660,
389120478,389120478,
390829364,390829364,
398519876,398519876,
390475879,390475879,
390075802,390075802,
389840646,389840646,
334143559,334143559,
441994555,441994555,
441962958,441962958,
442928537,442928537,
391105830,391105830,
389799719,389799719,
391065737,391065737,
391709078,391709078,
394297311,394297311,
390553162,390553162,
445191786,445191786,
408306959,408306959,
444859714,444859714,
444955066,444955066,
444359350,444359350,
448272187,448272187,
449033059,449033059,
394032221,394032221,
398174854,398174854,
394062343,394062343,
448642389,448642389,
448853481,448853481,
449632165,449632165,
449367424,449367424,
451605083,451605083,
451239925,451239925,
451331029,451331029,
451245518,451245518,
453075822,453075822,
451993430,451993430,
477993422,477993422,
332084987,332084987,
394441562,394441562,
398339416,398339416,
394074918,394074918,
399206564,399206564,
399636067,399636067,
453252900,453252900,
453799900,453799900,
454045345,454045345,
478574742,478574742,
454039447,454039447,
477627012,477627012,
423127174,423127174,
479328668,479328668,
335113882,335113882,
335175311,335175311,
390486256,390486256,
399585355,399585355,
399330331,399330331,
480044197,480044197,
402927362,402927362,
