orias,siren,nom
509707543,509707543,
508022613,508022613,
523423671,523423671,
412967515,412967515,
511474736,511474736,
511311938,511311938,
509106803,509106803,
509768057,509768057,
509819587,509819587,
509650818,509650818,
509296810,509296810,
510983190,510983190,
510829427,510829427,
509543393,509543393,
507702215,507702215,
511424350,511424350,
509294203,509294203,
509582946,509582946,
510589575,510589575,
500415781,500415781,
508919974,508919974,
508615630,508615630,
509632014,509632014,
492426309,492426309,
507450286,507450286,
498905330,498905330,
510302953,510302953,
507756708,507756708,
508223005,508223005,
509976791,509976791,
381653625,381653625,
509222576,509222576,
509357620,509357620,
508118668,508118668,
512592841,512592841,
513273078,513273078,
510250244,510250244,
507838639,507838639,
508129962,508129962,
503858607,503858607,
510040462,510040462,
335088183,335088183,
353944093,353944093,
510868474,510868474,
509381307,509381307,
509834073,509834073,
509637807,509637807,
481678720,481678720,
504509019,504509019,
483743084,483743084,
511158065,511158065,
512361056,512361056,
502115140,502115140,
484980594,484980594,
509263158,509263158,
509903621,509903621,
510342595,510342595,
510581317,510581317,
509004487,509004487,
381552694,381552694,
510383128,510383128,
508116993,508116993,
509989398,509989398,
383507530,383507530,
349150250,349150250,
487507840,487507840,
509515193,509515193,
512059551,512059551,
511295859,511295859,
512348780,512348780,
447932146,447932146,
510835077,510835077,
490384922,490384922,
512211657,512211657,
512728569,512728569,
452447188,452447188,
512993254,512993254,
513669366,513669366,
407997162,407997162,
481879435,481879435,
510621584,510621584,
510545932,510545932,
512118027,512118027,
500094818,500094818,
510715246,510715246,
440872323,440872323,
509676649,509676649,
378242457,378242457,
440139012,440139012,
504460718,504460718,
510803067,510803067,
480291350,480291350,
510538473,510538473,
508978418,508978418,
491116919,491116919,
510913536,510913536,
509762795,509762795,
501193171,501193171,
509041489,509041489,
510033921,510033921,
510208416,510208416,
408526572,408526572,
513642652,513642652,
512554445,512554445,
513850107,513850107,
498729656,498729656,
512516329,512516329,
512426669,512426669,
509951455,509951455,
511426702,511426702,
511394348,511394348,
504886326,504886326,
510165863,510165863,
392761102,392761102,
345029581,345029581,
510669823,510669823,
491739850,491739850,
510073109,510073109,
510535149,510535149,
510738834,510738834,
511709792,511709792,
511268120,511268120,
512663220,512663220,
512830209,512830209,
512634411,512634411,
512362799,512362799,
512358433,512358433,
513316489,513316489,
511760050,511760050,
440509602,440509602,
511709230,511709230,
511450355,511450355,
511571325,511571325,
505028803,505028803,
510545049,510545049,
498121631,498121631,
501575351,501575351,
505376137,505376137,
400091625,400091625,
399821214,399821214,
503921223,503921223,
494885114,494885114,
